id,交通,人气,占地面积,地址,床位数,成立时间,所在地区,所在地区_县,所在地区_市,所在地区_省,收住对象,收住对象_全护理,收住对象_半自理,收住对象_特护,收住对象_自理,收费区间,收费区间_上限,收费区间_下限,机构性质,机构类型,特色服务,特色服务_具备医保定点资格,特色服务_可接收异地老人,电话,网址,联系人,详情_入住须知,详情_收费标准,详情_服务内容,详情_机构介绍,详情_设施,负责人,邮箱,邮编
31860,,34697,120余亩,江苏省丹阳市区南郊丹延路88号,800,,江苏-镇江市-丹阳市,丹阳市,镇江市,江苏,自理 半自理 全护理 特护,True,True,True,True,2200-8000,8000,2200,民办,老年公寓,可接收异地老人 具备医保定点资格,True,True,400-099-6090转100,http://www.hyyxy.com,赵雪婷,入住人无精神分裂症、抑郁症、等精神或神经系统疾病 入住人无肝炎、肺结核等传染性疾病 入住人非处于疾病的急性发生期或不稳定期,暂无详细介绍，具体详情请致电咨询！,日间服务 提供个性化的餐点，量身定制护理计划，料理老人生活起居。 定点巡房 每日定时定点巡房，保障园内生活质量。 护理咨询 为您的家庭护理提供咨询服务。 交流互动 提供交流平台，与家属、老人互动，更好地了解需求。 药房 根据医师药方提供药品，保障老人需求。 饮食 根据每位老人身体状况，提供合理健康营养膳食。 交流互动 提供交流平台，与家属、老人互动，更好地了解需求。,丹阳市红叶颐馨园位于丹阳市丹延路88号(312国道丹延路交叉口南侧)，由丹阳红叶石油制品有限公司全资投资建设。本园占地130多亩，一期已投入使用342张床位，二期拟建500余张床位。集养生休闲和养老服务于一体，是现代化大型社会福利养老机构，从2011年规划、设计、建设到2013年投入运行，已经接待入住老人95位；体验入住老人50多位；镇江市、丹阳市伤残老军人、优抚对象短时期疗养20批共计850多人。是镇江市民政局指定的伤残老军人、优抚对象疗养基地。 园林化的纯天然生态花园园区，空气清新，环境宜人，满目苍翠，绿化率达70%，尽显江南水乡原汁原味的自然风光；现代化的设施设备齐全，配备适合老年人使用的多种体检仪器、康复器材、运动设施，娱乐项目，更有大型户外门球场；专业化的医护人员，为老年人提供科学有效的防病治病特护服务，让每一位入住的老年人享受保健医生的待遇，实施营养配餐，指导合理运动，体现科学养生，让老年人颐养天年；人性化的亲情护理，护理人员训练有序，素质优良，尊老孝亲，热情温暖，提供全天候全方位的关怀备至体贴入微的温馨护理，让老年人安度晚年。 为了能够更好的服务老人，让老人健康、快乐的生活，使老人的晚年生活更加有质量，医疗安全有保障，我园拟投入资金1千万元，申请设置国家2级护理院项目，已经获得镇江市卫生局批准建设，投入使用后的红叶护理院，拥有数字胃肠诊断系统、西门子多功能彩超、500型大型生化检查、心电监护仪等先进诊断治疗设备100多台套；各级一线医护人员40余人，可增加后勤保障工作岗位100余个。不仅仅可以为园区的老人提供医疗服务，还可以服务周边群众，分担医疗机构床位压力，使有限的医疗资源得到更加合理的使用。 本着“亲情养老”为服务理念，坚持以人为本，追求高标准，我们相信通过各级政府与各界朋友的大力支持以及企业自身不懈的努力，继续开拓创新，追求更高的服务质量，在未来的2-3年，努力将丹阳市红叶颐馨园打造成为华东地区标杆性的养老机构，成为老年人安享晚年的首选“家园”。,,,1059420618@qq.com,212300
41949,,3389,,南京市浦口区点将台路56号（南京市福利院内，进门左手边第二栋老年公寓楼）,112,2013年10月01日,江苏-南京市-浦口区,浦口区,南京市,江苏,自理 半自理 全护理 特护,True,True,True,True,1500-4000,4000,1500,民办,养老院,可接收异地老人 具备医保定点资格,True,True,400-099-6090转177,http://www.yanglao.com.cn/resthome/41949.html,刘院长,暂无详细介绍，具体详情请致电咨询！,1500-4000,暂无详细介绍，具体详情请致电咨询！,南京市浦口区慈恩老年人服务中心是由南京基督教女青年会管理经营的一家专业养老机构，位于南京市点将台社会福利院内。中心有112张床位，有单人间、双人间和三人间。福利院内有一座拥有70多名医护人员并可以使用医保卡的康复医院。中心还开设有老年大学、网吧、书吧、茶吧、餐吧和超市。为老年朋友们构建一个温馨的家园。,公园式养老院 全部双人间 每个房间都有阳台、卫生间、热水器等。,刘玲,915323250@qq.com,
40623,,3733,3600,南京市栖霞区八卦洲新生村205#-4,66,2012年05月24日,江苏-南京市-栖霞区,栖霞区,南京市,江苏,自理 半自理 全护理 特护,True,True,True,True,800-1800,1800,800,民办,养老院,可接收异地老人,,True,400-099-6090转162,http://www.yanglao.com.cn/resthome/40623.html,戴小淳,暂无详细介绍，具体详情请致电咨询！,A类： 类别 自理 介助 介护 三人间 800 1100 1680 双人间 1000 1300 1780 单人间 1200 1500 2080 B类 类别 自理 介助 介护 三人间 1000 1200 1780 双人间 1200 1500 1980 单人间 1500 1800 2280 以上价格含床位费、伙食费、护理费等费用。,可以打牌，唱歌、看电影，可以跳舞、喝茶聊天、闲话家常，让住在这里老人正真的老有所养、老有所乐。每周定期帮老人量血压、测血糖,福泰老年公寓是由栖霞区民政局批准成立的民营养老院，在众多民办养老院里，我们是为数不多的不以赚钱为目的养老院。我们独门独院，占地面积3600平方米，建筑面积1200平方米，户外活动场所2400平方米，有洗衣房、娱乐活动室、独立室外活动场地、花园、菜地等实施，绿化面积达到65%以上。我们蔬菜都是自己种植，不使用化肥、有毒农药，新鲜、营养。房间内实施齐全，有24小时热水、卫生间、浴室、电视、空调，为老照顾喜爱上网的老年朋友，我们还开通了宽带网络。 我们专门设立了老年活动室，每天都有固定的活动，这里可以打牌，唱歌、看电影，可以跳舞、喝茶聊天、闲话家常，让住在这里老人正真的老有所养、老有所乐。每周定期帮老人量血压、测血糖。 我们所做的这一切，只是要为老人提供一个舒适、安静、卫生、快乐的养老环境！ 我们的收费很低，但是我们的服务很好。为更好的为老人服务，我们将继续努力提高自己，把服务做的更好，更到位，让老人更舒心，家属更方心！ 热忱欢迎各位老年朋友到福泰老年公寓安享晚年！,卫生间、浴室、24小时热水、空调、电视、活动室、室外花园。,戴小淳,d5871@163.com,210012
226123,,183,,江苏省张家港市市委党校北侧,800,2015年10月21日,江苏-苏州市-张家港市,张家港市,苏州市,江苏,自理 半自理 全护理 特护,True,True,True,True,3600-9000,9000,3600,民办,老年公寓,可接收异地老人 具备医保定点资格,True,True,,http://www.yanglao.com.cn/resthome/226123.html,小杨,暂无详细介绍，具体详情请致电咨询！,公寓房型 入住押金 月费（一人入住） 月费（两人入住） 温馨房50平方米 28万元/户 3600元/月 4800元/月 精致房90平方米 35万元/户 4400元/月 5600元/月 尊贵房120平方米 49万元/户 5200元/月 6400元/月 说明： 1.每个月公寓充值50度电、10吨水。 2.团购优惠：5户（含5户）以上共同签约者赠送每户12个月包月餐券。,一个温馨的五星家园(三餐、家事、琐事，专人服务) 紧急就医陪同等服务，不仅让子女无后顾之忧，更可期待长辈越住越健康！ 一处休闲的社交会所（新朋、老友、家人，永不寂寞） 公园中心的环境、合理的功能分区、舒适宜人的成套住宅、五星酒店的配套设施、温暖贴心的秘书服务，365天提供周全的生活照顾，随时响应长辈的需求，打造温馨的居住家园。 一家全新的医护中心(细心、耐心、爱心，医保护航) 优居壹佰为您提供私人专属健康管理服务。由医师、护师、药师、社工师、营养师、运动管理师、心理咨询师等各专业人才联合组成全人照护团队，提供紧急医疗处理、日常健康咨询、定期健康体检、服药提醒、营养配餐、运动指导、康复训练、慢性病管理、外出就医预约、紧急就医陪同等服务，不仅让子女无后顾之忧，更可期待长辈越住越健康！ 一处休闲的社交会所（新朋、老友、家人，永不寂寞） 到这里，我们提供您所需要的一切生活便利，家人般的友好服务。一切都是那么熟悉，但却变得更美好，就像在这里时间流逝变缓，而欢乐时光从未停歇。优居壹佰设置公共餐厅、小餐厅、咖啡馆、理发室、棋牌室、卡拉OK室、超市、净菜与熟食店、舞蹈室、多功能教室、书画室、阅览室、乒乓球室、健身房、电影院、足浴室、游泳池、水疗室等各种功能场所，便于您和圈层朋友购物、娱乐、休闲、运动、保健、学习、交流。 一套安全的照护体系（适老、智能、专业，心安无忧） 无障碍空间规划、家具无锐角、高亮度不直射灯具、地坪无高差、防滑地面、安全扶手等设施顾及长辈的行动安全。全区无线定位系统、紧急呼叫响应、离床检测、门磁检测、水电检测、周界报警等高科技智能设施，确保长辈人身和居家安全。秘书每日问安、紧急呼叫腕带、紧急呼叫按钮、监控中心24小时值班，确保各项紧急事件及时通知到相关人员，医师护士全天候响应，及时为您提供专业服务。 一所开放的老年大学（琴棋、书画、游学，青春不老） 过去的岁月中，想为自己的兴趣学习的时候，总是说：等孩子大了再学，等工作闲了再学，等有钱了再学，等退休了再学。 现在我们不再等待，拿起笔、弹起琴、亮起嗓，优居壹佰为您组织各类兴趣班，您可以自由选择书画班、读书会、歌咏班、舞蹈班、摄影班、电脑班、戏曲班，让生活多姿多彩！,"优居壹佰养老公寓张家港项目是由澳洋集团投资打造的中高端养老公寓连锁品牌的旗舰项目。投资3.5亿元，位于江苏省张家港市沙洲湖畔。秉承“老有所养、老有所依、老有所为、老有所学、老有所乐”的服务宗旨，定位于酒店式乐龄生活社区，内设专业医疗机构，由服务于健康活力型长辈的酒店式公寓及加强护理型长辈的护理公寓组成。本项目由美国睿智养老集团进行整体规划，清华大学建筑学院周燕珉教授融合其对日本养老服务的多年经验所得倾力设计，引进台湾养老服务管理的资深团队进行服务产品设计和流程规划,将领先的养老服务理念贯彻到每个服务细节中，致力于提供高标准的养老服务。",健康养生公寓（温馨房、精致房、尊贵房，拥有独立卫生间及厨房） 生活街（多功能厅、宴会厅、超市、美发厅、足疗室、咖啡厅、棋牌室、艺术室、KTV室、电影院、画廊、书画室、阅览室、学习室、健身房、水疗区、沙狐球、气旋球、乒乓球、台球） 门诊（化验室、X光室、B超室、门诊室、点滴室、针灸推拿室、康复训练室） 护理院（护理单元、护士站、休闲活动区/每层、助浴室/每层）,,3062850@qq.com,215600
226114,,249,,无锡市南长区清名路298号清二大厦2楼,10000,,江苏-无锡市-南长区,南长区,无锡市,江苏,全护理,True,,,,2500-5000,5000,2500,民办,养老院,可接收异地老人 具备医保定点资格,True,True,,http://www.yanglao.com.cn/resthome/226114.html,金夕延年,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,随着中国老龄化程度的加深，越来越多老年人需要被照料，养老的需求也呈现出多样化的趋势。为了提高老年人晚年生活的质量，金夕延年养老运营管理有限公司在对我国老年群体充分了解的基础上，整合了精神文化、养生保健、智慧科技、金融服务、管理咨询、公益慈善等多项优质养老服务资源，通过互通共享、优化升级的方式，创造性的打造出了适合中国老年人的“一体两翼”的养老服务新模式：以社区居家养老为主体，以机构养老和异地养老为两翼，帮助老年人真正实现“老有所养、老有所医、老有所为、老有所乐”。 金夕延年现运营管理着无锡市滨湖区社会福利中心、滨湖区社会福利中心护理院、太湖街道养老服务中心、无锡新区新安养老服务中心等多家养老机构，养老总床位达到3600余张，为刚需老人机构养老提供了广泛的选择。 针对不愿入住机构的老人，金夕延年依托养老机构的专业支持，与政府共建社区居家养老服务中心，免费或低偿为老年人提供生活照料和精神慰藉服务，让老年人在自己的屋檐下安享晚年。现阶段，以蠡园社区为示范点的金夕延年社区居家养老服务中心，正在面向全市全面铺开，预计年底前将达到20余家。 由江苏省老龄产业协会异地养老专委会发起，金夕延年牵头联合全国14个省、市、自治区的50多家知名养老机构共同成立了江苏省首个异地养生联盟太湖国际异地养生养老联盟，为愿意出去走走、看看的健康低龄老人提供了广阔的平台。 公司现有专业从事养老服务的工作人员380余人，其中主任医师4人，副主任医师6人，医师10人，医技15人，护士25人，高级护理员15人，中级护理员26人，初级护理员98人，心理咨询师3人，法律顾问3人，专业社工22人。 金夕延年兼具专业背景和实践经验的人才队伍，完善的服务管理体系，标准化的服务流程、服务内容和服务质量监控，为公司全方位养老服务的开展奠定了坚实的基础，也为公司管理咨询、输出管理提供了强有力的支撑。,暂无详细介绍，具体详情请致电咨询！,,mqchen@jinxin.com,214000
226078,,476,14亩,南京市江宁区兴民南路78号,127,2015年10月21日,江苏-南京市-江宁区,江宁区,南京市,江苏,自理 半自理 全护理 特护,True,True,True,True,4000-6000,6000,4000,民办,老年公寓,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/226078.html,陈亚男,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,"医疗服务 把老年患者从普通的门诊区别开来，对老年人是好消息。中国正步入老龄社会，60岁以上老年人已达1.3亿，且以年均3％持续增长。随“银发潮”汹涌而来的，是老年人对医疗服务的大量需求。据统计，60岁以上的老年人平均每人患有3种疾病，70岁以上的老年人平均患有5种疾病，80岁以上的老年人则平均每人患有7种疾病。 老年患者有其特殊性。一个老年人跟一个青壮年，在同一疾病的治疗方面，有着很大的差异。举例说，一般的糖尿病患者降血糖，空腹血糖保持在6.1，餐后血糖控制在7.8，但对于老年患者就不能这样要求，因为老年人服药后降血糖非常迅速，稍有不慎反而会引起低血糖。这些针对老年患者特殊性的诊疗要点，在老年病科能得到更细致的落实。 为老人提供完善的老年医疗服务，这既是社会应当给予老人的回报，也是弘扬敬老爱老的传统美德，又是分享社会发展成果的题中之义。 康复治疗 康复治疗前应先对病、伤、残者进行康复评定，然后制定一个康复治疗方案，由以康复医师为中心的，康复治疗师和临床医学相关人员共同组成的康复治疗组去实施，并在实施过程中不断总结、评定、调整，直至治疗结束。 康复治疗（rehabilitation treatment,rehabilitation care）是康复医学的重要内容，是使病、伤、残者身心健康与“功能恢复”的重要手段，也是病、伤残综合治疗的一个组成部分。康复治疗常与药物疗法、手术疗法等临床治疗综合进行。 社工主导模式 社工主导模式主要针对机构规模适中，资源存在结构性短缺的养老机构。该模式通过在机构建立社会工作站，设置专职岗位，以社工与院方合作互动及“行为示范”等方式，推行专业理念，挖掘内部资源，改善服务品质，使社工专业理念逐步融入到机构整体服务中，成为服务活动的主导方向。 街道养老机构，活动场地较小，基本设施不够完善，对外部资源依赖性大。社工介入后，首先从挖掘内部资源入手，对服务设施进行调整与完善，为老人公共活动提供稳定场所和必要设施；以社工手法促进老人之间的沟通，利用小组形式，培养老人的互助意识，建立院内支持体系；加强对机构员工的专业培训，提高其协助社工开展服务的能力。其次，开展观摩学习活动，深化院方对资源不足状况的认识，增强引入外部资源的积极性。 这种模式就是以社工进驻机构直接提供服务的方式，把社工专业理念和整合资源的专业特色融入机构发展之中。一方面使养老机构在服务中更具人性化，另一方面使内外部资源有机结合，增强养老机构发展潜力。 社工指导模式 对于机构规模小、资源匮乏的养老机构采用社工指导模式，从根本上讲，就是要解决该类机构在现阶段难以容纳社工，或由于缺乏社工几个机构共用一名社工的问题。该模式中，社工并非以专职岗位进入，而是以指导者角色间接提供服务，虽然也开展定期的专业服务，但更重要的是强调专业制度建设和机构人员专业技能的培养，指导机构逐步向社会工作专业化服务方向发展。 银轩敬老中心是社区层面的养老机构，其常设床位较少，活动场地缺乏，员工人数少、素质偏低，服务设施简陋，服务内容单一。若没有外部资源支持，服务难以改善，但现有条件下这类机构缺乏对外部资源的吸引力。因此，社工指导模式就要积极培养院方对外部资源的引入能力，形成一种以社工理念和方法为核心、以外部资源为主要支撑的养老机构发展模式。 这种服务模式要把理念灌输放在首位，以制度化建设为支撑，将行为示范和专业培训作为主要措施，提升机构员工的专业素质与实务能力。社工参与机构运作，以社工理念协助机构规范服务管理，推动服务向专业化、规范化发展。在组织活动中，通过“行为示范”等方式，向员工灌输专业理念。在资源引入上，将硬件引入与智力引入相结合，与周边社区和驻区单位达成合作意向，争取社会经费的支持。","江苏瑞芝康健老年产业投资有限公司,是一家专注于投资养老产业和为养老提供专业服务的机构。公司成立于2013年12月，注册资本1000万元。业务范围:从事相关养老产业投资；养老机构的策划、咨询与管理服务；从事居家养老、社区养老、机构养老专业服务；从事养老从业人员的培训、老年人用品设计、生产和销售；老年人公益活动的组织推广及老年设施器材、用品的经营与销售。 公司以“崇仁厚德、 止于至善”为理念，坚持“长者至上、一切以老人为中心”的核心价值观，对每一位老人的健康和幸福给予诚挚和独特的关注，为乐龄老人提供一个“安全、舒适、温馨、和谐”的生活环境。让一群无忧无虑的长者在我们的乐园中享受他们快乐的晚年品质生活，实现幸福的晚年归宿。 公司以“人本、卓越、团队、和谐”为四大基石，吸收了欧美、日本及台湾养老服务的先进管理理念，给予入住老人“专享、精细、尊贵、贴心、及时”的五星服务。让辛苦大半辈子的长者在退休后能抱着积极的人生观，尊严地享受完全属于自我的新人生，过着愉快、悠闲、自在的新生活。 公司由深圳麦瑞资产管理公司和企业界成功人士发起设立。本着“敬老尊贤、回馈社会”的企业良心，致力于为每一位老人提供专业化、个性化、人性化的医疗、护理、康复服务。公司的管理团队具有丰富的养老产业投资经验、专业的养老产业经营管理的技能和广泛的社会资源，能够为中小养老企业量身定做融资及资本运作服务，为广大养老企业输出管理服务。养老产业商机无限，前途光明。 瑞芝康健愿与您携手共进，为中国养老事业的发展和老年人的福祉做出应有的贡献。","生活环境 Living Environment 「家」的感觉 Feels like「Home」 南京江宁”瑞芝康健老年公寓”,位于江宁区兴民南路78号,由著名长者建筑专业设计机构规划设计，以温馨的「家」为主题，安排单人居室与双人居室，既和谐温馨又充满活力；公寓康复设备及长者专用家私均由国内知名专业长者器材供应商提供；四楼有180平米平台花园，提供绿茵小径让长者漫步，并加入专为阿尔茨海默症康复（Alzheimer's Rehab）与帕金森症康复（Parkinson Rehab）长者而设的「游走径」，让长者能享受户外乐趣，怡情养性；中心毗邻地铁1号线江宁竹山路站出口（步行约10分钟），距离南京市江宁人民医院开车仅8分钟时间，能为长者提供应急所需支援…… 私家居室（二楼及五楼） 本中心设置10多私家居室，每位老人将享有属于自己的独立私密居室,大气舒适的空间、配以简洁大方的装修风格，点缀生机盎然的绿色植物，房间温馨舒适,朝向视野良好，自然光线映入眼帘，让长者在宽敞舒适的环境里静心休养，轻松接受服务。 房间设施： 双层窗帘，既能阻挡阳光，亦可无碍的欣赏窗外景观 私人坐厕及浴室（装有安全防护扶手及紧急呼叫装置） 液晶电视机及有线数字电视 免费无线WiFi上网 特设衣柜及储物柜、书柜 24小时紧急呼叫系统 半私家居室（二楼及三楼） 70间半私家居室，房间洁净清雅，宽敞舒适。内设两张床位，空间布局合理，各有独立空间。使长者在享受妥善服务的同时，与同伴一起安享美好时光。 房间设施： 双层窗帘，既能阻挡阳光，亦可无碍的欣赏窗外景观 私人坐厕及浴室（装有安全防护扶手及紧急呼叫装置） 液晶电视机及有线数字电视 免费无线WiFi上网 特设衣柜及储物柜、书柜 24小时紧急呼叫系统 日间照料中心（中心首层） 长者日间照料中心位于中心首层，占地300平方米，中心功能规划完善，豪华整洁。室外休闲空间5000多平米，绿树成茵、四季花草、空气清新、气候宜人。中心广场约1000平方米，特设健身器材、休闲娱乐设施供长者使用。为长者提供营养膳食、专业保健康复、休闲娱乐和无障碍交通接送等一站式服务。 配套设施 Supporting Facilities 24小时紧急呼叫系统 各居室统一安装24小时紧急呼叫系统，院友可随时与呼叫中心取得联系，方便院友得到及时的照护。 无障碍设施设备 保障院友通行安全和使用便利，采用欧盟安全认证体系的配套设施。包括无障碍通道(路)、电(楼)梯、平台、房间、洗手间(厕所)、席位、盲文标识和音响提示等设施，以及特设院友接送巴士，保障长者来往中心的路途安全性。 感官治疗区 感官治疗强调在学习过程中应该调动身体各个器官，全方位地激发兴趣。为有需要的特殊院友体验视觉、听觉、嗅觉、触觉等感官刺激，减缓不正常张力变化、减低院友焦虑不安的情绪，削弱不适应性行为等。 亲情空间 亲情空间旨为院友与亲友联络感情，环境舒适，让长者享受与亲友的情感互动交流，满足长者的情感需要。 美容美发室 特设专业美发机构，满足长者美化仪容的需要，美发费用需院友自理。",王红兵,,
226053,,325,41亩,江苏省宜兴市徐舍镇堰头村徐舍颐养园,330,2015年04月27日,江苏-无锡市-宜兴市,宜兴市,无锡市,江苏,自理 半自理 全护理 特护,True,True,True,True,2600-5000,5000,2600,民办,敬老院,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/226053.html,邱云英,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,,暂无详细介绍，具体详情请致电咨询！,袁治,,
226052,,343,"36.5,亩",江苏省无锡市新区硕放街道振发路227号硕放颐养园,321,2013年10月24日,江苏-无锡市-滨湖区,滨湖区,无锡市,江苏,自理 半自理 全护理 特护,True,True,True,True,2550-5000,5000,2550,民办,福利院,可接收异地老人 具备医保定点资格,True,True,,http://www.yanglao.com.cn/resthome/226052.html,朱思名,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,,暂无详细介绍，具体详情请致电咨询！,袁治,,
225957,,569,1500平米,宜兴市芳桥镇芳兴东路1号（车站往东150米，车站有车接送）,20,2015年10月15日,江苏-无锡市-宜兴市,宜兴市,无锡市,江苏,全护理,True,,,,1200-1500,1500,1200,民办,养老院,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/225957.html,王建民,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,我们提供免费的餐饮、住宿、洗衣、棋牌等服务，定期对老人进行体检，院内空气清新，比邻一大片森林和果园，远处有山有水，鸟语花香，清净素雅，是老年人排遣寂寞颐养天年的好地方。,暂无详细介绍，具体详情请致电咨询！,王建民,1033512130@qq.com,214264
225952,,598,20亩,徐州市三环北路金驹物流园向西400米淮海钢材库东隔壁,150,2015年10月10日,江苏-徐州市-鼓楼区,鼓楼区,徐州市,江苏,自理 半自理 全护理 特护,True,True,True,True,1000-2700,2700,1000,民办,养老院,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/225952.html,李先生,暂无详细介绍，具体详情请致电咨询！,1000元/月 具体详情 康复中心内资讯,我们助您远离以下慢性病的困扰 脑梗、脑梗后遗症、股骨头坏死、颈椎病、肩周炎、肩不能外展、手不能打对侧肩膀、网球肘、腱鞘炎、腰椎间盘突出、滑脱、背发紧僵硬、膝关节痛等各种痛症、头晕、头痛、眼睛干涩、心肌炎等,徐州市鼓楼区寸草春晖老年康复中心是经民政局批准设立的，集养老，护理，康复理疗，文化娱乐与一体的大型福利养老机构。 我们为您设置了单人间，双人间，多人间，单人间和双人间均设有独立卫生间，所有房间均有空调，暖气，电视，监控呼叫设备，护理床，衣柜等必要的和人性化的配套设施。每一间房间均有大窗设计，为您提供充足的阳光和新鲜空气。 我们为您的衣食住行提供现代化的厨房设备，宽敞明亮的多功能厅，阅览室，娱乐室，康复室等 我们为您的休闲生化准备了约20亩的蔬果种植园和花草养殖基地，让您在这里自由的呼吸新鲜氧气，赏赏花种种草，与自然为伴。 区别其他单一功能的养老机构，我们为你提供医养结合的全方位服务，我们为您的健康提供专业的健康咨询和康复理疗服务，使您在这里越活越健康，越活越年轻越活越自信。 我们助您远离以下慢性病的困扰 脑梗、脑梗后遗症、股骨头坏死、颈椎病、肩周炎、肩不能外展、手不能打对侧肩膀、网球肘、腱鞘炎、腰椎间盘突出、滑脱、背发紧僵硬、膝关节痛等各种痛症、头晕、头痛、眼睛干涩、心肌炎等,暂无详细介绍，具体详情请致电咨询！,李岩,,221000
