id,交通,人气,占地面积,地址,床位数,成立时间,所在地区,所在地区_县,所在地区_市,所在地区_省,收住对象,收住对象_全护理,收住对象_半自理,收住对象_特护,收住对象_自理,收费区间,收费区间_上限,收费区间_下限,机构性质,机构类型,特色服务,特色服务_具备医保定点资格,特色服务_可接收异地老人,电话,网址,联系人,详情_入住须知,详情_收费标准,详情_服务内容,详情_机构介绍,详情_设施,负责人,邮箱,邮编
226073,,418,300平方米,上海市崇明县中兴镇富圩村富圩路1607号,50,2015年10月20日,上海-上海市-崇明县,崇明县,上海市,上海,自理 半自理 全护理 特护,True,True,True,True,1500-3000,3000,1500,民办,敬老院,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/226073.html,陈绒琴,入院需提供老人的身份证复印件及病历卡,暂无详细介绍，具体详情请致电咨询！,本院拎包即可入住，院内还备有专车为老人的就医提供免费服务。,本院是中小型民办敬老院，以家为雏形创建能给老人家的温暖的敬老院。本院承诺对老人有爱心，有耐心，有细心，有责任心，在职工作人员不拿老人东西，不吃老人零食，不让老人受气，不让老人想家。在院期间及我们所能给老人以家的温暖，让老人开心让儿女放心。,院内设有电视空调等常规电器，配备了室外的活动器材及棋、牌等室内休闲娱乐。,陈绒琴,,
225966,,1023,,上海市松江区辰花路251弄231号（中山苑对面）,120,1999年07月01日,上海-上海市-松江区,松江区,上海市,上海,自理 半自理 全护理 特护,True,True,True,True,3000-2000,2000,3000,民办,养老院,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/225966.html,茅爱琴,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,上海市松江花桥养老院（单位名称）坐落于上海市松江区辰花路251弄231号（单位地址），于2001年7月5日经社团局注册登记成立，上海市松江花桥养老院位于松江新城主城区，由民政部门批准设置，是以老年服务为核心，以开展老年休闲度假、生活照料、文化娱乐及技术交流等，以及促进社会养老服务水平提高为目的的公益性服务机构。上海市松江花桥养老院于1999年9月1日正式开业，总占地面积近3300平米，建筑面积1660平米，核定床位120张。养老院规划方案博众家之长，更突出自身特点，从构思、设计、结构、房间布局等均体现了以“长者为本”的理念，凸显了人性化、科学化、合理化的现代新型养老机构的特点，让老人既有居家体验，又享受星级服务的方便与尊贵。未来五年，上海市松江花桥养老院将把养老服务做实、做强。,暂无详细介绍，具体详情请致电咨询！,钱桃兴,2275990805@qq.com,201600
225941,,1364,,上海浦东新区浦东大道2507号,150,2013年03月16日,上海-上海市-浦东新区,浦东新区,上海市,上海,自理 半自理 全护理 特护,True,True,True,True,2000-4000,4000,2000,民办,养老院,可接收异地老人 具备医保定点资格,True,True,,http://www.yanglao.com.cn/resthome/225941.html,陈春良,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,,暂无详细介绍，具体详情请致电咨询！,,,
42414,,2002,2,上海市杨浦区武东路55路,800,2009年01月01日,上海-上海市-杨浦区,杨浦区,上海市,上海,自理 半自理 全护理 特护,True,True,True,True,2000-4000,4000,2000,民办,敬老院,可接收异地老人 具备医保定点资格,True,True,,http://www.yanglao.com.cn/resthome/42414.html,杨红兵,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,,暂无详细介绍，具体详情请致电咨询！,杨红兵,,20000
41967,,6159,284亩,北京市北京市通州区通惠南路6号怡佳商务楼三层,3500,2014年10月17日,上海-上海市-浦东新区,浦东新区,上海市,上海,自理 半自理 全护理 特护,True,True,True,True,9000-12000,12000,9000,民办,其他,可接收异地老人 具备医保定点资格,True,True,,http://www.yanglao.com.cn/resthome/41967.html,梁旭,暂无详细介绍，具体详情请致电咨询！,目前 暂定价格900-12000元每月，户型1-3居不等。中国太平保险集团旗下子公司太平人寿已推出与养老社区挂钩的养老保险产品，希望通过商业保险的方式，对购买人未来养老金做出有效补充。 购买相关挂钩的养老保险产品的客户，可以获得优先入住养老社区的资格。,梧桐人家国际健康颐养社区，是候鸟式的养老社区，目前已在北京，上海，无锡开工，未来会在全国十几个省市级城市建立，社区周边配备三甲医疗机构。目前有北京，上海两地可供样板间参观。 文娱活动区可以体验“怡普乐”设施，它克服了普通康复训练的枯燥感，并同时增强了老人与孩子们的互动。 社区配备餐饮服务，中心会所配有营养餐、风味小吃；如遇极端天气状况或老人偶感不适，提供送餐服务；个性化餐饮服务：私人厨师上门服务等。 社区配备图书馆‍‍、悠然学院等学习场所，为计划老年生活再深造学习的老人准备。 卫生间所有设备高度略低于普通公寓，花洒高度可调节。防水地漏防止跌倒，无障碍通道。浴凳折叠设计满足各方面需要，同时，防滑安全保护。“卫洗丽”方便老人的清理。 提供全屋中央空调，新风系统，冬季提供地暖。一键式开关，除冰箱、采暖外，可切断所有电源。 公寓多处设有感应器，可及时监控老人的安全状况，并通知相关护理人员，争取抢救时间；全屋每个功能空间都设有紧急呼叫按钮，如老人遇到突发情况，需要救助，可使用紧急呼叫按钮求助。 全护理型公寓还配备电动护理床、电动起身沙发、轮椅等设施。 通过今天的参观，相信你对梧桐人家已经有了一个初步认识，是否已经有些心动了呢？目前，投保太平人寿全新养老金产品“悦享金生”的前5000名、达到一定标准的客户将获得“梧桐人家”的入住资格。,人民网上海10月17日电（2014年10月17日） 今天上午，中国太平保险集团打造的“梧桐人家”国际健康颐养社区项目在上海正式开工。 中国太平“梧桐人家”选址于上海浦东周浦镇，地处上海国际医学园区中心位置，总投资约39亿元，占地约284亩，绿化率59%。“梧桐人家”倡导“健康医疗”、“温馨家园”、“酒店式服务”、“文娱生活”、“旅居度假”的全方位5H服务理念，计划于2017年下半年建成投入试运营。社区建成后，可供3500余位老人在这里生活，集高品质养老服务、个性化亲情服务、健康养生、临床医疗、护理服务于一体，为长者打造高端颐养的乐龄生活。 随着中国人口老龄化加速发展，养老问题日益成为社会热点问题。中国太平保险集团认真履行央企社会责任，积极响应国务院《关于加快发展现代保险服务业的若干意见》和《关于加快发展养老服务业的若干意见》要求，按照李克强总理提出的“整体配合”思路，与社会各界共同应对人口老龄化的挑战。投资建设梧桐人家国际健康颐养社区项目，正是中国太平保险集团的一项具体举措。,梧桐人家有多款户型供选择，可分为独立生活公寓、护理型公寓。前者定位于健康自理型老人，后者定位于需要全面护理的老人。 ‍‍客厅‍‍设计温馨舒适，沙发材料为加厚高硬度海绵，进深60厘米，低于市场普通沙发95厘米的进深，方便老人起身。 厨房‍‍为一体式橱柜，设计有移动式橱柜（水槽和炉灶底下的柜子移出，储放轮椅）、嵌入式冰箱、下拉式上柜（方便老人拿取高置物品）。 餐厅的桌椅都根据人体工程学原理设计，舒适、安全。 ‍‍卧室‍‍设计稳重、典雅，床可分可和，满足不同老人需求。分床时，墙面插座可以方便使用，床头光线柔和。提供全屋中央空调，新风系统，冬季提供地暖。 阅读区的书桌‍‍可提供轮椅进入。 卫生间紧靠卧室。马桶与淋浴干湿分离，保证安全，还配备无障碍通道。 ‍‍阳台‍‍为爱养花老人特别准备了花艺角，种植台底部通透，方便轮椅进出。 配套设施初体验 参观完温馨舒适的房间，下面让我们再来一起体验一下梧桐人家先进的配套设施吧。 先进的社区运营管理系统——爱照护系统 健康中心配备饮食营养自评系统，可根据老人情况，量身定制个人健康档案以及护理计划。 健康中心配备各种体检、健康管理设备。 文娱活动区可以体验“怡普乐”设施，它克服了普通康复训练的枯燥感，并同时增强了老人与孩子们的互动。 社区配备餐饮服务，中心会所配有营养餐、风味小吃；如遇极端天气状况或老人偶感不适，提供送餐服务；个性化餐饮服务：私人厨师上门服务等。 社区配备图书馆‍‍、悠然学院等学习场所，为计划老年生活再深造学习的老人准备。 宜老（适老化）设计 从科学专业的管理理念，丰富完善的生活文娱配套，我们已经可以感受到梧桐人家对于老年人生活品质和便捷舒适的关注。下面，我们再来看一看梧桐人家的宜老智能设计是如何关爱和关注老人的。 门口装有门廊灯，‍‍方便老人夜间回家使用。门口还配有记忆盒（帮助老人记忆，认清家门）、小黑板（记录各项事宜，方便与社区服务人员沟通）、搁物架。 所有家具家具全部圆角设计，最大程度保障老人的安全。 公寓内到处都设有扶杆，方便行动不便的老人行动，预防摔倒。 厕所门采用进口五金件，使用三联动移门形式，增加有效的进门开口尺寸，可扩大急救空间，也可方便轮椅进入，当发生意外时，救护人员可从另一侧进入。正门设计为门向里退、向外开，向外开保证住户安全，内退保证走廊通畅，担架，轮椅无障碍可使用。 公寓内的地砖采用防滑设计，防止打滑摔倒。地板为特殊高弹力材质，老人万一摔倒时，增加缓冲功能，减少对身体的伤害。全屋无高差设计防止摔跤。 卫生间所有设备高度略低于普通公寓，花洒高度可调节。防水地漏防止跌倒，无障碍通道。浴凳折叠设计满足各方面需要，同时，防滑安全保护。“卫洗丽”方便老人的清理。 提供全屋中央空调，新风系统，冬季提供地暖。一键式开关，除冰箱、采暖外，可切断所有电源。 公寓多处设有感应器，可及时监控老人的安全状况，并通知相关护理人员，争取抢救时间；全屋每个功能空间都设有紧急呼叫按钮，如老人遇到突发情况，需要救助，可使用紧急呼叫按钮求助。 全护理型公寓还配备电动护理床、电动起身沙发、轮椅等设施。 通过今天的参观，相信你对梧桐人家已经有了一个初步认识，是否已经有些心动了呢？目前，投保太平人寿全新养老金产品“悦享金生”的前5000名、达到一定标准的客户将获得“梧桐人家”的入住资格。,梁女士,2444288590@qq.com,100245
41957,,6863,13000,上海市杨浦区邯郸路100号,530,2014年01月12日,上海-上海市-杨浦区,杨浦区,上海市,上海,自理 半自理 全护理 特护,True,True,True,True,3000-8200,8200,3000,公办,养老院,可接收异地老人 具备医保定点资格,True,True,,http://www.yanglao.com.cn/resthome/41957.html,张先生,暂无详细介绍，具体详情请致电咨询！,,自理型 独立活动能力正常，生活行为基本能自理，不依赖他人帮助的长者。 介助型 具有部分独立活动能力，需要部分、具体的帮助或指导（生活行为依赖扶手、拐杖、轮椅和升降等设施）的长者。 介护型 生活自理能力很弱，生活行为依赖他人护理，思维功能轻度障碍或患有影响生命健康安全疾病，随时出现病情变化，需要密切观察或监护的长者。 全护型 失能、失智、生活完全不能自理且需要24小时护理的长者。 临终关怀 希望生命带着尊严圆满的长者。,上海鑫日养老院建立标准化的服务体系和监管体系，负责为长者提供全方位的服务管理、服务咨询、服务监督等工作，满足长者24小时的服务需求、咨询与监督，不断完善服务内容、提高服务质量。 服务分类 采用全国首创的五养三护理颐养服务理念，以信息智能化为管理手段，以国内外先进的护理技术为支撑，形成完善的五类八级护理标准，向颐养人群提供全人、全程、全员的颐养服务。,暂无详细介绍，具体详情请致电咨询！,董小姐,1158469930@qq.com,
41827,,9548,2000,上海市远景路69号,500,2014年10月08日,上海-上海市-普陀区,普陀区,上海市,上海,自理 半自理 全护理 特护,True,True,True,True,3000-9000,9000,3000,民办,养老院,可接收异地老人 具备医保定点资格,True,True,,http://www.yanglao.com.cn/resthome/41827.html,林小姐,体检报告 每家养老院都会要求住户到医院进行体检，至于具体作些什么体检，个别养老院会有各自的要求。这里提醒各位住户，最好不要使用以前的体检报告，哪怕是三个月前的报告。毕竟老年人的身体状况日益在变化，三个月前跟三个月后的状况是完全不一样。重新体检，一来可以知道老年人最新的身体状况；二来，万一老年人入住后发生意外，追究起来，这份体检报告可是起了相当重要的依据。 病史 虽说入住前，住户都会经过体检合格后才能被养老院接受。但对于老年人过往的病史，或许已经痊愈，或许体检报告没有写明，这里还是建议家属告知院方，不要隐瞒！这样的话，养老院心里有数，以便能够提供更加贴切的护理服务。 生活习惯 每个人有着自己的生活习惯，尤其是老年人，需要更加长的时间来适应新环境。如果家属能够告知院方老年人的生活习惯，尤其是特别的习惯，这样养老院可以更加了解并帮助老年人迅速融入新的环境、新的团体。 签订协议书 这个是入住前需要特别注意的事项。签订协议书对于住户以及养老院是一个法律保障，万一引起纠纷，协议书就是唯一的法律根据。所以，住户在签订协议书前，必须过滤协议书的每一个条款，任何疑问必须马上提出。一旦签订后，双方就必须履行各自的权利和义务。 个人钱财物品 最后一点要提醒住户的是，入住前必须当面点清所有钱财物品。有些养老院不允许住户携带贵重的物品，否则遗失了就很麻烦。若非得要携带一些珍藏品，那住户必须对此负责，万一遗失了，通常养老院是不承担任何责任的。因此不鼓励住户这么做。,1.护理级别及费用视老人健康评估情况而定；2.多种房型、不同床位可根据老人需求自主选择。,专业的服务管理团队 贴心的日常生活护理 完善的生活设施 丰富的精神文化生活 科学的营养膳食 服务对象,宜川养老院从规划设计到院内布局都是按现代化养老院进行的。按入住老人状况分为全护理区 （失智或失能老人）和住养区。养老院毗邻上海火车站和中远两湾城，紧邻苏州河第一湾，有“苏州河畔水景房”的美称。室内装修幽雅温馨；居室内组合全家具， 独立卫生间、电视、电扇、空调、冰箱等生活设施一应俱全。设有二人间、三人间及多人间（全护理医疗房）。酒店式的舒适与温馨，不同档次，供老人自由选择， 是养老的理想居所。,多功能影视厅，楼台服务站,林先生,,
41826,,6838,1500,上海市闸北区保德路545号,400,2014年08月08日,上海-上海市-闸北区,闸北区,上海市,上海,自理 半自理 全护理 特护,True,True,True,True,3000-8000,8000,3000,民办,养老院,可接收异地老人 具备医保定点资格,True,True,,http://www.yanglao.com.cn/resthome/41826.html,王小姐,养老院入住准备 1.老人或家属身份证复印件各一份; 2.老人原始病历及病历介绍，医保卡、病史记录; 3.老人一寸照片3张; 4.二级以上医院体检报告;,闸北盛德护理院住院收费标准如下： 注：1.住院其他诊断、治疗及药品费用按上海市物价局收费标准执行。2. 护理费、护工费依据住院患者病情评估确定。3.一次性或其他专用生活护理用品按院内公示价格收费。 温馨提示： 1.此价格针对常规护理，不包含特殊护理费用 ；2.护理级别及费用视老人健康评估情况而定；3.拨打电话提前预约，多种房型、不同床位可根据老人需求优先选择。,盛德的视角诠释和演绎现代化的老年养护理念、模式与技术的发展，在身体照护的基础上，突出精神照护的概念。尊重并科学地剖析老年群体的心理 状况，确定了在满足其生理、安全需要的基础上，着力于满足其爱与归属感、自尊及自我实现的高层次的需求。秉持感恩执着，委身奉献的服务信念，盛德旨在成 为中国敬老传统的忠实继承者和新时期老年关怀的执着践行者，开拓老年养护事业新境界。,我院按照国家标准配备建设的康复训练中心，配备了全套化的康复训练器材，设施完善，设备齐 全。康复训练中心分设心理科，功能评估科，偏瘫、截瘫、骨及骨关节康复等科室，各科室配备有康复治疗师、康复护理员，以专业的康复技术为老人提供康复治疗 项目。中心还有医用大型X光机和彩色B超机可以及时检查老人康复情况以便随时调整康复训练计划，有利于老人早日康复。专业的康复训练能有效防止并发症，促 进老年脑中风患者、骨折术后患者的功能康复。,我院引进新型DR-X射线...多参数生命体征监护仪...冲击波骨科治疗仪，电脑中频电疗仪...,林先生,2065799950@qq.com,
41718,,12988,27万平,多伦路48号,5000,,上海-上海市-虹口区,虹口区,上海市,上海,自理 半自理 全护理 特护,True,True,True,True,3000-10000,10000,3000,民办,老年公寓,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/41718.html,封经理,1. 请家属或担保人带领老人来院参观咨询。 2. 请家属或担保人带老人去就近的医院体检，项目为：胸透、血常规、肝功能、两对半、血糖、尿常规、心电图、血压等。 3. 办理人办理入院手续时请交老人户口簿和家属或担保人的身份证复印件。 4. 请交老人体检报告、原始病历卡、家属应如实向院方介绍病史（隐瞒病史者院方有权终止养老服务合同），院方根据上述情况核定其护理等级，对行动十分不便的老人，本院可和家属预约时间上门或到医院确认护理级别。 5. 办理入院手续：由家属或担保人与院方共同签署入院申请书和上海市养老服务合同，对合同内容如有特别要求的另外约定。 6. 入院前两天请与我院接待处电话联系，便于我们做好迎接老人入住的准备工作。 7. 入院前请把老人的衣服做好记号，以免洗涤衣服时混淆或丢失。 8. 入院初期尤其是初入住养老机构的老人请家属经常来探望，配合院方抚慰老人。,暂无详细介绍，具体详情请致电咨询！,在医疗配套上，我们的医疗中心由沪上知名医疗机构提供全程合作指导，担负整个社区的医疗卫生保健工作， 1、设有医务室、配有全科医生、药剂师、专业护士。 2、定期巡诊进行体温、脉搏、呼吸、血压、体重指标检测。 3、定期体检、为入住老人建立个人健康档案。让每一位入住老人的家人能随时以上网 查询的方式了解老人的身体近况。并根据各个老人的医疗档案为其安排合适的生活和饮 食。智能求助响应系统，轻按钮了解您的方位，采取服务和救助。 无围墙养老院内部配套齐全：双水（自来水、纯净水），双气（暖气、天然气）。 饮食护理：营养科针对每位入住患者的疾病特点和营养需求，特别是需流质饮食或鼻饲患者制定合理的饮食方案，同时对一般卧床患者制定配合治疗的食疗方案。 我们养老院的老年大学，聘请专业老师上课， 康体中心有氧锻炼室、舞蹈房、疗养型健身器械区等； 户外活动区有垂钓区、运动区、宠物专属区； 多功能活动区有视听室、棋牌室、老年活动中心； 公寓定期开展老年集体活动，增加老人之间的互动，让我们老人的孩子不用牵肠挂肚，安心工作。,百善孝为先，维护老人的福利是我们的首要任务。“为了更幸福的晚年”是我们的使命，成为优秀的养老服务及产品提供者，服务老人，令老人满意。帮助老人改善生命质量，提高生活品质，获得关爱、尊重、健康与快乐。 公司拥有位于上海虹口、静安、闵行及昆山巴城等地的多处拥有国内领先的集休闲、养生、疗养康复等为一体的精品养老示范项目。华府旗下有多伦路洋房精品老年公寓，康定路4层高楼，闵行9幢独栋别墅和昆山阳澄湖特色养生养老大平层组成，共有床位5000个。,暂无详细介绍，具体详情请致电咨询！,,3085677817@qq.com,
41535,,7941,1.5万平方米,上海市、崇明县、大通路、388号,250,2014年09月18日,上海-上海市-崇明县,崇明县,上海市,上海,自理 半自理,,True,,True,3000-8000,8000,3000,民办,老年公寓,可接收异地老人 具备医保定点资格,True,True,,http://www.yanglao.com.cn/resthome/41535.html,倪玉娟,入院须知 一、 老人必须有监护人陪同前来。电话 59415388 二、 老人和监护人的身份证，户口本复印件。 三、 老人体检资料；（医保卡及病历） 1.肝功能报告单， 2.肺部胸片报告单，3.心电图报告单 4.骨密度检验单， 5.血糖检验单， 四、 相关事项 1. 医疗备用金3000元 2. 床上用品500元 3.自带生活用品；面盆，毛巾，热水瓶，茶杯，牙刷，手纸，肥皂，换洗衣裤，鞋袜。,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,"月亮湖老龄公寓的核心价值观: 尊重、真诚、交流、和谐 月亮湖老年公寓的使命： 成为联系老年人和家人之间联系的纽带和桥梁..... 遇见未来不断创造人生奇迹的自己，遇见更美好的自己....... 我们对入住者的期待： 期待每一个入住者拥有比以往更积极活跃的生活态度，生命的每一天都变得比以往更有意义，期待每一位入住者拥有更美好的人格和更美丽的人生，让他们相信夕阳依然无限美好....... 医养结合 以养为主 持续照料 月亮湖·老年公寓简介 上海月亮湖老年公寓作为市民政局关注度和期待较多，由崇明民政局直接扶持的养老服务机构，是备受瞩目的老年机构项目，作为“医养结合，注重精神需求、家庭度假结合疗养度假的试点养老机构。月亮湖老年公寓将在3年内逐步完善融合专业化医疗、个性化护理和社区化生活配套，为自理、半自理、非自理和失智老人提供生活照护、营养配餐、保健医疗、康复调理、修身养心、培养文化艺术修养等全方位、多维度的高品质照护服务。 月亮湖老年公寓位于上海的后花园--生态崇明岛，这个镶嵌于长江入海口长寿之乡，以其纯净的空气、优美的自然环境、醇厚的人文环境、丰富的休闲度假资源著称。老年公寓选址，交通便利，位于崇明主要的交通要道，贴近医疗资源，便于日常就医保健，守护住户健康；拥有完善家属接设施、丰富的休闲度假资源和场所，便于家人探访全家一起休闲度假，有利于住户与子女朋友间的亲情交流；拥有丰富的文化艺术交流平台，延续社会交往，促进住户的社会参与，让住户享受丰富多彩的人文生活和的精神生活；贴近大自然，拥有得天独厚的自然资源和生态种植场地，鼓励住户及其家人一起融入田园生活，享受城市里没有的天伦之乐。 月亮湖老年公寓的扩改建，由年轻的建筑师团队驻扎项目地，现场设计并全程监督施工和各项细节的实施，每一个细节都融入了建筑师的丰富的想象力和对细节的执着，当古典遭遇后现代，当自然遭遇人工环境，呈现在世人面前的将是深沉而充满生命力的建筑语言：庄重、优雅、飘逸、灵动、生命力.......给人丰富美好视觉体验的同时，也给予住户暗示一种积极活跃的生活态度。 月亮湖老年公寓不仅为住户打造了居家一样舒适安全的生活环境，并营造了良好的休闲度假氛围。公共空间与居住空间面积配比1.5 :1 ，除即将开放的15,000㎡月亮湖艺术公园（包括600㎡月亮湖会所）及3,500㎡生态园种植园，更将开辟6,800㎡的D388文化艺术孵化中心（二期），为家庭休闲度假，探访聚会提供了完善、高品质的家属接待服务；老年公寓主楼楼整层在内的约500㎡的休闲娱乐区域、350㎡的大堂吧、480㎡的餐饮区；各楼层设置为方便不便行走住户设置的休闲活动室，目前一期开发的主楼120多个单元，五种户型，全部采用舒适的水冷式中央空调，24小时提供市政生活热水，房间内均配备优雅的家具、布艺沙发、卫生间有整体开放型宜老淋浴房、洁具。 月亮湖老年公寓推出以健康管理、慢病调理和运动康复为核心、组合营养膳食、修身养心为一体的个性化疗养度假服务。作为多元化发展的综合性健康疗养度假平台、医疗旅游平台和文化艺术交流平台，背靠崇明生态岛不可复制的颐养环境和旅游度假资源，凭借当前国内顶级的健康管理能力，高品质个性化服务，月亮湖老年公寓必然是中老年朋友的健康疗养、休闲度假的首选之地。 月亮湖服务团队经过系统化培训，在养老、医疗、护理等资深专业管理队伍的带领下，秉承“尊重、平等、交流”的核心价值观，凭借专业的健康管理能力、充满亲情的个性化服务，为中老年人提供医养融合、康复疗养、休闲度假一体化的健康疗养度假服务。，为住户提供个性化的专业服务。 月亮湖老年公寓：家庭度假式养老 月亮湖老年公寓有限公司简介 上海崇明月亮湖老年公寓有限公司（简称月亮湖老年公寓）前身为崇南大酒店有限公司（原东航之星三星级酒店），是一家以老年公寓为主体，拥有休闲度假、文化艺术等众多配套服务设施的多元化发展的综合性养老机构，致力于为老年人提供医养结合、以养为主的健康养老专业服务和新颖家庭度假结合健康养老的模式。 月亮湖老年公寓是遵循贴近文化、贴近艺术、贴近自然、成熟社区的“三贴近”原则，一期月亮湖公园即将投入使用，包括备受瞩目的生态覆土建筑—月亮湖会所，二期投入的文化艺术交流中心及各项配套服务设施将不断完善，五年远景目标将是将这座隐藏在崇明岛两大运河交汇处的老年社区逐步实现国际化标准，我们的最终目标是：发展成可以满足家庭度假、疗养养老、文化艺术交流、休闲娱乐多元化发展的综合性高端服务社区。 秉承“尊重、平等、交流”的核心价值观，月亮湖老年公寓引进国外服务理念和专业人才，结合中国国情和养老文化，以医养结合为基础，在持续照料、健康疗养等方面，将建立规范的服务贴近体系与服务标准，并将成为内领先的运营实践成果为目标。 成为中国最具人文精神和艺术气息的养老品牌，月亮湖志在用家的氛围、个性化的服务和专业有爱心的团队，通过打造安全温馨、个性自主、优雅时尚、亲近自然、贴近艺术的美好生活方式，致力于让每位住户有尊严地享受健康愉悦及丰富多彩的生活，促进住户、家属员工的幸福。同时我们提出的5+2生活方式和1+2+3全家福模式，希望通过自身创新、实践与努力，引领中国养老疗养行业服务的多元化发展，推动现代中国人生活方式的改变。 月亮湖老年公寓开发主题： 为应对将来80、90后独生子女家庭面临的父母养老问题做出一些突破性的尝试，通过对老年住户和住户子女的需求上的共性、差异性和矛盾性的系统分析，得出了可以同时解决差异性、共性、和矛盾性的全新的生活方式和生活模式： 5+2生活方式和1+2+3全家福模式，我们相信，这种时候方式和生活模式将会开启划时代的养老度假理念。 5+2生活方式：5（周一至周五）+2（周晚上至周日）生活方式：老人子女周一至周五城市 上班工作，周五晚上至周日晚上带着孩子来月亮湖老年公寓一起休闲度假， 我们会提供从酒店式客房、家庭套房、产权式家庭度假别墅等多种度假方式 1+2+3全家福模式： 1代（父母）养老 + 2代（子女）度假+3代（子孙）度假/寒暑假 = 节假日全家福 换算公式：父母：350天左右在月亮湖（除去外出就医、走亲访友、旅行等） 子女：100天左右在月亮湖（周末+年假-必要社交活动、加班出差等） 在校子孙：150天左右在月亮湖（周末+寒暑假-必要社交活动、旅行等) 在职子孙: 90天左右在月亮湖（周末+年假-必要的社交活动、旅行、出差等） 从上述数据可以得出，一年中至少有3个月左右是可以全家团聚，如果家庭成员可以错开必要的出差社交活动的时间，那么可以让老人能有三分之一以上的时间可以有亲人陪伴。 对于老年住户：既享有护理专员无微不至的照护和丰富多彩的社区生活，又可以享受的家庭的亲情和一起节假日度假的天伦之乐，更有丰富的文化活动让子女们看到了我们昔日风采 对于老人的子女：既可以陪伴父母尽自己的孝心，又可以休闲度假，享受田园生活和大自然的亲近，更有丰富的文化艺术活动、定期的文艺演出、以及参与观赏父辈们的丰富多彩的老年社区活动更是丰富了业余生活，还有可以看到老年公寓里年轻的音乐家、艺术家、建筑师、设计师在这里开始他们度假式的工作方式，定期举办各类展览展示活动、文化艺术、各类沙龙开展的主题派对，为老年环境注入了新的活力，也为喜爱文化艺术的老人和家属提供了亲近和参与文化艺术的机会。 那么我们将能实现满足老年人对丰富的老年社会生活向往，同时又能兼顾老年人对亲情渴望，将这种类似于“鱼和熊掌”不可兼得的情况得到有效的解决的同时为在城市种工作压力大的老人子女和子孙提供了既可以陪伴老人又可以放松度假的机会，对子女也是也是一举两得的事情。","设施简介： 月亮湖老年公寓不仅为住户打造了居家一样舒适安全的生活环境，并营造了良好的休闲度假氛围。公共空间与居住空间面积配比1.5 :1 ，除即将开放的15,000㎡月亮湖艺术公园（包括600㎡月亮湖会所）及3,500㎡生态园种植园，更将开辟6,800㎡的D388文化艺术孵化中心（二期），为家庭休闲度假，探访聚会提供了完善、高品质的家属接待服务；老年公寓主楼楼整层在内的约500㎡的休闲娱乐区域、350㎡的大堂吧、480㎡的餐饮区；各楼层设置为方便不便行走住户设置的休闲活动室，目前一期开发的主楼120多个单元，五种户型，全部采用舒适的水冷式中央空调，12(暂定）小时提供市政生活热水，房间内均配备优雅的家具、布艺沙发、卫生间有整体开放型宜老淋浴房、洁具。",倪玉娟,yuelianghu388@126.com,202157
