区县,名称,电话,联系人,邮编,地址,创建时间,房屋面积,服务项目
黄浦区,豫园街道会稽居委老年活动室,63280485,王予琦,200021,西藏南路439弄4号,2009-10,100,阅览，医疗咨询与健康教育，社区为老服务便民活动，老人康乐、兴趣小组活动，远程收视点
黄浦区,南京东路街道云中居委老年活动室,63224641,朱蕙娟,200001,贵州路131弄16号,1995-07,120,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,豫园街道淮海居委老年活动室,63735814,李芷芹,200021,淮海东路89弄10号103室,2008-05,80,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,豫园街道侯家居委老年活动室,63289774,陈艳,200010,侯家路121弄3号,2007-01,40,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，远程收视点
黄浦区,豫园街道广福居委老年活动室,63200266,林树英,200010,侯家路147号,2010-01,112,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,豫园街道光启居委老年活动室,33070254,杨新娣,200010,县左街35号,2000-05,30,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,豫园街道古城居委老年活动室,33070196,顾秀英,200010,丹凤路121号,2006-05,27,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,豫园街道阜春居委老年活动室,63284222,郁仲福,200010,阜春街87号,2006-06,45,涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,半淞园路街道海西居委老年活动室,33768213,张丰,200011,海南西路51弄3号,2001-05,300,阅览，远程收视点
黄浦区,豫园街道方西居委老年活动室,63284714,许萍,200021,方浜西路63弄10号,2010-06,77,阅览，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,豫园街道丹马居委老年活动室,63301073,沈莉萍,200010,方浜中路63弄4号,2010-01,70,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,豫园街道长生居委老年活动室,63281340,柳莺,200010,长生街102号,2003-07,12,阅览，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，远程收视点
黄浦区,半淞园路街道黄浦新苑老年活动室,63141293,裘可忠,200011,丽园路333弄9号北面,2008-12,100,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，老人康乐、兴趣小组活动，远程收视点
黄浦区,豫园街道宝带居委老年活动室,63300460,周卫星,200010,梧桐路58号,2007-01,12,阅览，社区为老服务便民活动，谈心服务，远程收视点
黄浦区,半淞园路街道西三居委老年活动室,33183283,陈金凤,200011,西藏南路1374弄31号101室,1995-06,112,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,半淞园路街道西二居委会议室兼活动室,33183344,任国芬,200011,西藏南路1374弄51号,2006-07,127,阅览，远程收视点
黄浦区,半淞园路街道中福二居委老年活动室,63145384,卢雪珍,200011,海潮路93弄1号307室,2006-07,127,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动
黄浦区,半淞园路街道益元居委多功能活动室,63136051,许基新,20001,中山南路1581号,2003-09,100,阅览，远程收视点
黄浦区,半淞园路街道迎勋居委老年活动室,53590143,张达华,20001,天柱山路138号,1996-10,100,阅览，老人康乐、兴趣小组活动
黄浦区,半淞园路街道车中居委多功能活动室,63084432,李小慰,20001,车站支路99弄5号,2011-01,100,阅览，远程收视点
黄浦区,半淞园路街道民立居委老年活动室,33050841,钱怡兰,200011,西藏南路1090弄1号,1996-10,100,阅览，医疗咨询与健康教育，老人康乐、兴趣小组活动
黄浦区,小东门街道南区居委老年活动室,63772566,钟芳华,200011,薛家浜路7号,2009-08,50,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，远程收视点
黄浦区,半淞园路街道中福一居委老年活动室,63773267,许满琴,200011,海潮路256弄6号,2010-01,105,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,半淞园路街道保屯居委老年活动室,33183215,陈文英,200011,保屯路99弄6号,2007-07,100,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动
黄浦区,南京东路街道新昌老年活动室,63271091,宋勤,200003,新昌路87弄16号,1995-03,707,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,南京东路顺天村老年活动室,63278452,陈忠华,200003,成都北路262弄5号101室,2000-03,117.9,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，谈心服务，远程收视点
黄浦区,南京东路街道平望老年活动室,63221387,房春明,200001,广东路487号,2009-08,110,阅览，医疗咨询与健康教育，社区为老服务便民活动，老人康乐、兴趣小组活动，远程收视点
黄浦区,南京东路街道龙泉居委老年活动室,63222524,叶丽君,200001,浙江中路462号三楼,2004-10,240,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,南京东路街道牛庄居民区活动室,63223819,叶伟珠,200231,牛庄路760号,2007-06,291,阅览，医疗咨询与健康教育，社区为老服务便民活动，谈心服务
黄浦区,南京东路街道贵州居委老年人活动室,63520624,潘秀霞,200001,北京东路850弄26号,1995-01,102,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,南京东路街道厦门老年活动室,63517574,黄小宝,200001,厦门路136弄76号,1997-01,103,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,南京东路街道三德居委老年活动室,33060095,余素珍,200003,新昌路445弄20号,2008-05,153,阅览，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,南京东路街道小花园居委,63605187,史隆妹,20001,浙江中路188弄P层,2000-05,250,阅览，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,南京东路街道福瑞居委老年活动室,63271440,宫夏秋,200003,新闸路66弄59号,2006-07,109,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，老人康乐、兴趣小组活动，远程收视点
黄浦区,南京东路街道福海居委老年活动室,63593985,刘秋芸,20000,黄河路333号,2004-08,150,阅览，老人康乐、兴趣小组活动，远程收视点
黄浦区,外滩街道金陵居委老年活动室,63280759,杨来娣,200002,福建南路129弄4号,2008-07,33,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，谈心服务，远程收视点
黄浦区,外滩街道新建二村居委老年活动室,63282941,张健平,200001,广东路414弄3支弄4号,1998-01,80,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,外滩街道昭通居委老年活动室,63229410,黄丽萍,200001,福州路272弄7号,2004-02,114.98,阅览，医疗咨询与健康教育，谈心服务，老人康乐、兴趣小组活动，远程收视点
黄浦区,外滩街道山北居委老年活动室,63292047,花菊蕙,200001,河南中路531弄24号,1996-03,56,阅览，社区为老服务便民活动，老人康乐、兴趣小组活动，远程收视点，助餐服务
黄浦区,外滩街道中山居委老年活动室,63210636,汪钰君,200002,延安东路150号,2004-06,374,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
黄浦区,外滩街道无锡居委老年活动室,63221436,徐祖芳,200001,北无锡路40号,1996-12,81,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点，助餐服务
黄浦区,外滩街道宝兴居委老年活动室,63280751,徐蓓珺,200002,福建南路84弄7号,2009-10,192,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，老人康乐、兴趣小组活动，远程收视点，助餐服务
黄浦区,外滩街道福南咏年楼老年活动室,33317501,王帼敏,200002,浙江南路143弄16号3幢,2010-10,196,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，助餐服务
黄浦区,外滩街道永安居委老年活动室,63288031,何凤翔,200002,永安路13弄24号,2000-03,101,阅览，涉老法律咨询与宣传，医疗咨询与健康教育，社区为老服务便民活动，谈心服务，老人康乐、兴趣小组活动，远程收视点
