id,交通,人气,占地面积,地址,床位数,成立时间,所在地区,所在地区_县,所在地区_市,所在地区_省,收住对象,收住对象_全护理,收住对象_半自理,收住对象_特护,收住对象_自理,收费区间,收费区间_上限,收费区间_下限,机构性质,机构类型,特色服务,特色服务_具备医保定点资格,特色服务_可接收异地老人,电话,网址,联系人,详情_入住须知,详情_收费标准,详情_服务内容,详情_机构介绍,详情_设施,负责人,邮箱,邮编
226084,,267,500平方,宁波市鄞州区东钱湖镇城杨村,30,1999年10月20日,浙江-宁波市-鄞州区,鄞州区,宁波市,浙江,自理 半自理 全护理,True,True,,True,1000-2500,2500,1000,民办,养老院,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/226084.html,杨春来,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,"宁波城杨养老院建于99年,已经历十余年细心经营,在周围已建立较好口碑,院址前有青翠群山,后有潺潺溪水,院里有床位三十余张,俩人一间,配有卫生间,专职护工五名,个尽其职,态度温和,一日三餐,餐菜不同,可满足不同人的饮食习惯. 城杨村是宁波近郊旅游最热线路,空气清新,环境优美,是旅游踏青,理想养老的最佳地点!",暂无详细介绍，具体详情请致电咨询！,杨春来,2281674342@qq.com,315133
226003,,379,2000,温州市平阳县昆阳镇河边村,50,2011年10月10日,浙江-温州市-平阳县,平阳县,温州市,浙江,自理 半自理 全护理 特护,True,True,True,True,1200-3000,3000,1200,民办,养老院,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/226003.html,陈女士,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,,暂无详细介绍，具体详情请致电咨询！,陈女士,499392782@qq.com,325400
225978,,408,,诸暨市望云路135-8号,1200,,浙江-绍兴市-诸暨市,诸暨市,绍兴市,浙江,自理,,,,True,1688-7688,7688,1688,民办,养老院,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/225978.html,章忠英,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,,暂无详细介绍，具体详情请致电咨询！,,,
42689,,734,3000平米,杭州市拱墅区康桥路28号,70,2014年06月03日,浙江-杭州市-拱墅区,拱墅区,杭州市,浙江,半自理 全护理 特护,True,True,True,,2800-3500,3500,2800,民办,敬老院,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/42689.html,杨女士,⑴老人由家属陪同参观本院，自愿提出申请要求，到护理部登记床位。 ⑵健康体检：市级医院健康体检，包括血尿常规、生化全套、胸片、肝炎两项、心电图、骨密度等。 ⑶委托人提供休养员及委托人身份证及户口本原件、复印件，以及委托人本人的工作单位、家庭住址、联系电话并保证电话随时畅通。同时还需要提供老人的体检资料及1寸照片2张。委托人仔细阅读并签署院方、老人及委托人三方合同。 ⑷缴纳相关费用，安排老人入住。,收费项目 项目明细 收费标准（元/人） 床位费 二人间 1200 三人间 800 护理费 1300-2500 伙食费 400,暂无详细介绍，具体详情请致电咨询！,杭州市拱墅区康桥爱心老年之家位于拱墅区康桥路28号，占地2000余方，是杭州首家专门为失智失能老人设立的敬老院，通过与杭州师范大学医学院合作，做到理论和实践相结合。在院内设有康复教室多间，供老人用作农疗、作业治疗、音乐治疗及回忆治疗等日常生活康复治疗。敬老院设有双人房和三人房，每个房间均配备独立卫生间及电视、空调及医疗专用床，有护理人员24小时陪护。,暂无详细介绍，具体详情请致电咨询！,,2932788577@qq.com,
42308,,1086,4200平方米,浙江省台州市玉环县玉城街道龟山村298号,135,2015年05月20日,浙江-台州市-玉环县,玉环县,台州市,浙江,自理 半自理 全护理 特护,True,True,True,True,1600-4200,4200,1600,民办,养老院,可接收异地老人 具备医保定点资格,True,True,,http://www.yanglao.com.cn/resthome/42308.html,汪女士,申请条件 ＊ 无传染病、精神疾病； ＊ 身体状况、生活习惯、性格趋向、精神状态适合过集体生活。 入住程序 ＊ 住养老人或家属自愿提出申请，确定委托人，登记床位； ＊ 我院根据住养老人年龄、病／残情况及相关体检报告，初定确定护理等级；住养老人必须携带自己的身份证和复印件、户口簿原件或复印件；近期照片（二寸）三张、病历本；近期（一个月内）县级医院体检报告（须包括胸片、血生化全套、乙肝三系）。家属（委托人）应带身份证或身份证复印件。并如实填写入住老人身体健康情况和生活习惯。 ＊ 住养老人或家属（委托人）根据住养协议内容与院方签订协议书，并缴付费用后入住。《住养协议》中约定初次入住老人享受15天试住期，期内根据初定护理等级提供相应服 务并收费。试住期结束后，将对住养老人进行二次综合评估确定是否符合入住条件及初定护理等级；住养老人亦可根据入住体验及二次评估结果决定是否继续入住。 贴心提示 ＊ 住养老人入院必须确定委托人（亲属或单位）由委托人负责入院期间费用； ＊ 住养老人入院时应如实告知本人情况（包括但不限于病史、身体状态、精神状况等），入院后如发现不实，我院将终止入住协议；并承担可能发生的走失、摔伤、打人、毁物等意外事故所造成的损失。 ＊ 住养老人入院期间如产生思想、生活或常规治疗问题，委托人须协助做好工作；如遇重大疾病，我院将与委托人沟通并转医院治疗，一切费用由住养老人或委托人自负。 ＊ 住养老人入住期间，除允许带一些日常生活所需物品及衣物外，不得带入家用电器及其它物品；不将易燃、易爆、易腐及其它危害人体健康的物品带入房间。不得携带贵重物品及过多现金放入室内，如因本人原因出现问题责任自负。 ＊ 住养老人应文明住养，遵守社会公德，爱护公物，节约水电；若损坏公共设施须照价赔偿； ＊ 委托人的通讯地址、电话应详细填写，保障信息畅通，如地址和电话有变化应及时联系，若存变更失去联系，而发生意外，其责任由入住人家属承担。 ＊ 住养老人或委托人应自觉履行《住养协议》，并在每月1-5日交纳当月的各项生活费用。 ＊ 自觉遵守院内规章制度及住养老人守则。,暂无详细介绍，具体详情请致电咨询！,养老院配备专业医护人员，护理团队，设有医务室、康复指导服务中心，护理房间均配有高级电动升降护理床和呼叫系统、护理软件管理系统。不仅为每位入住老人建立个人健康档案，为护理老人提供配方营养餐，同时结合老人的个性需求提供人性化专业照护，为老人提供24小时全天候贴心护理服务，具体分为：自理，半自理，全护理，特殊护理四大类。此外，另由定点医院医生负责老人医疗，保健就诊服务。注重全面、周到、体贴的细节。 养老院开设经国家卫生部批准的医疗机构“玉环县玉城幸福疗养院”，诊疗科目：预防保健科、全科医疗科、内科康复医学科、中医科。,替天下儿女尽孝，为社会家庭分忧！ 玉环县玉城幸福家园养老院位于玉城街道九山社区龟山298号，紧邻龟山，环境优美，青山绿水，清雅幽静，交通便利，探视方便。是一所具有康复、医疗、娱乐、食宿、疗养等多种功能，经民政局批准的目前县内档次较高的养老机构。 养老院按国家规范标准建设，建筑面积2069平方米，蔬菜基地1000多平方米。可同时容纳130多位老人居住。设有多种房型，典雅单人房、温馨双人房、舒适三人房、标准四人房等设计简洁高雅，通透明亮，可供自由选择入住。所有房间均做到宾馆标准精装修，光线充足，配有电梯、独立卫生间、空调、液晶彩电、衣柜、热水系统、安全监控、红外线烟感和消防喷淋系统；楼内设有餐厅、洗衣房、理发室、文化活动中心、健身中心、报刊阅览室、楼宇控制中心、保安监控室、无障碍通道及全走廊扶手等设施，每个区域按其功能配备完善的生活、医疗护理设施和休闲娱乐设施；处处渗透着家的感觉和敬老文化，洋溢着浓郁的人性化氛围。 养老院配备专业医护人员，护理团队，设有医务室、康复指导服务中心，护理房间均配有高级电动升降护理床和呼叫系统、护理软件管理系统。不仅为每位入住老人建立个人健康档案，为护理老人提供配方营养餐，同时结合老人的个性需求提供人性化专业照护，为老人提供24小时全天候贴心护理服务，具体分为：自理，半自理，全护理，特殊护理四大类。此外，另由定点医院医生负责老人医疗，保健就诊服务。注重全面、周到、体贴的细节。 养老院开设经国家卫生部批准的医疗机构“玉环县玉城幸福疗养院”，诊疗科目：预防保健科、全科医疗科、内科康复医学科、中医科。 养老院以“以人为本、尊老扶弱”为宗旨，“诚信敬业、爱心奉献”为服务理念，以亲情式服务为老人营造愉悦氛围，实现品质生活。 全体员工用自己的热心、爱心、耐心、细心、诚心面对每一位入住的老人。真正做到让老人生活开心，家属放心。 幸福家园养老院真诚的期待您加入我们这个温馨的大家庭。 养老院地址：玉环县玉城街道九山社区龟山298号,设有多种房型，典雅单人房、温馨双人房、舒适三人房、标准四人房等设计简洁高雅，通透明亮，可供自由选择入住。所有房间均做到宾馆标准精装修，光线充足，配有电梯、独立卫生间、空调、液晶彩电、衣柜、热水系统、安全监控、红外线烟感和消防喷淋系统；楼内设有餐厅、洗衣房、理发室、文化活动中心、健身中心、报刊阅览室、楼宇控制中心、保安监控室、无障碍通道及全走廊扶手等设施，每个区域按其功能配备完善的生活、医疗护理设施和休闲娱乐设施；处处渗透着家的感觉和敬老文化，洋溢着浓郁的人性化氛围。,,,
42254,,948,,温州市瓯海区茶山镇睦洲垟工业区新洲路15号,200,2015年01月01日,浙江-温州市-瓯海区,瓯海区,温州市,浙江,半自理 全护理 特护,True,True,True,,2000-10000,10000,2000,民办,养老院,可接收异地老人,,True,,http://www.anxiaoyl.com/,董伟,1：须带物品 请您在送家人入住时准备如下物品： 入住者及家属身份证、病历或体检报告、6000元医疗储备金及押金、首月费用、换洗衣服、毛巾两条、浴巾一条、脸盆两个、水杯、牙杯牙具、拖鞋、轮椅、手杖、便盆等个人物品。 注：1、所带衣物、鞋子要柔软宽松，棉质为好； 2、如大小便失禁棉质睡裤或秋裤请多带； 3、6000元储备金在出院时全额退还； 4、以上日用品部分如未带齐，本院有提供，但需收费。 2：收费说明 入住协议不定期限，根据入住者个人意愿及身体状况决定，出院时不足一个月的部分按天计算；计费从入住当日算起，缴费日期以入住日为准，每顺延一个月为下一个月的缴费日；每个月的月费包括床位费、伙食费、护理费、水电费及公共设施维修费，卫生及洗漱用品、个人衣物、康复器材等需单独计费。注：A、如有特殊护理项目，除养护费外，按如下标准加收特殊护理费：尿管： 200 元/月； 气切： 500 元/月；造瘘： 500 元/月；鼻胃管： 600 元/月；牵引： 300 元/月；褥疮： 500 元/月；植物人：800 元/月，与养护费一并，合计： 元/月。 3：禁止吸烟 为了保障您的家人及其他住民的健康和人身安全，请您入院探望时勿带香烟、火种、水果刀等危险物品，如因此产生安全问题责任自负。请以水果、点心等替代香烟，如有住民向您讨要香烟、火机等请婉言拒绝，并请您自觉做到在院内不吸烟。 4：谢绝红包 鉴于以往各位家属送护工红包一事，特向广大家属告知如下：为了避免不良之风在护工之间泛滥，为了我们在日常护理工作中抛开贫富差距，本院谢绝红包！诸位家属的感激之情我们深表谢意，但护工高尚，有爱心，请尊重我们！并且您的家人平安、健康的生活在这里，并非护工一人之功，我们还有夜班、厨房、清洁、医护、管理等许多人，都在为您的家人默默服务着、献出爱心、作出贡献。基于以上诸多因素，请大家勿送财物给护工，请尊重我们！ 5：药品、点心管理 为了保障住民能够按时、按量服药，合理、按时、如数的享用家属所送的水果、牛奶、点心等，我院施行统一管理，请您在探望时将药品、水果、牛奶、点心等交到办公室或护理站并报出名字，我们有专人负责管理和发放，以避免药品、点心等丢失、变质、滥用。 6：贵重物品、现金管理 请各位家属配合入住者做到不带现金，不配戴金银首饰，如有需要请交到办公室临时登记保管，否则丢失概不负责。 7:后事及场地管理 如入住者在入住期间有病危迹象，院方会第一时间通知家属商议相关事宜，如家属选择留在本院，我们会依现有条件进行抢救；但不提供太平间及仪式场地，不接受3小时以上遗体存放时间。,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,温州市安孝老年护理中心位于温州市瓯海区茶山镇睦洲垟新洲路15号，本护理中心内设有单人间、双人间、三人间、多人套间等，房间宽敞明亮，通风通气良好，配有独立卫生间，床头呼叫系统，衣柜等设施。整体采用无障碍通道、走廊扶手，并设有棋牌室、KTV多功能活动大厅，供住民们娱乐。我们拥有一支专业的护理团队，让入住的老年人度过一个有尊严的幸福晚年。,暂无详细介绍，具体详情请致电咨询！,林隆森,qtxs-sky@qq.com,323000
42228,,769,1500,嵊州市剡湖街道戴望村城隍山姚家65号（鹿山公园山顶，原海军基地）,60,2012年06月12日,浙江-绍兴市-嵊州市,嵊州市,绍兴市,浙江,自理 半自理,,True,,True,500-1000,1000,500,民办,养老院,,,,,http://www.yanglao.com.cn/resthome/42228.html,李再平,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,本养老院坐落于鹿胎山顶，环境优美，空气清新！占地面积1000多平方米，床位60张。设施齐全，服务周到。是您家老一辈人养老、疗养的最佳选择之地。,暂无详细介绍，具体详情请致电咨询！,李再平,,312400
42054,,4753,150亩,杭州市西湖区留下镇杨梅山路399号,2000,,浙江-杭州市-西湖区,西湖区,杭州市,浙江,自理 半自理 全护理 特护,True,True,True,True,2000-3200,3200,2000,民办,老年公寓,可接收异地老人 具备医保定点资格,True,True,,http://www.yanglao.com.cn/resthome/42054.html,祖小姐,暂无详细介绍，具体详情请致电咨询！,"山缘全新推出稀缺精装全配南向阳光养老用房（45-55m2）,错过不再重来：60万/套精装全配，退休前委托山缘管理收入4.2万/年。5年后您可自行居住，也可继续委托山缘打理。 12小时营养餐厅，24小时医疗服务、服务大堂、门球场、太极广场。为退休到百岁提供一站式基础、特殊、综合、护理服务，让您半生幸福有所依。",山缘老人公寓提供基础、特殊、综合、护理四套可持续服务。 基础服务的主要服务对象是刚退休的自住型居家老人。基础服务老人用房面积从60多平方-200多平方、、、、、、山缘老人公寓目前尚余76套可以两代居住的“两代居”大户型房。 特殊服务的主要对象是经济条件一般，生活尚能自理的、尤其是独居老人。特殊服务用房价格实惠，面积从25平方-45平方，每个房间和服务大楼在一起，每天有人打扫房间。 最近，为满足广大客户需求，首次打开护理服务新空间，推出护理服务用房23间，可吸收42位需要护理服务的老人用房,山缘老人公寓坐落于西湖区杨梅山路399号，地处西湖西溪中心位置，为杭城主城区最大的休闲养生养老退休生活区。占地138亩，提供10万多平方米的居养用房和储藏室、车库等。整个园区沿山近水而建，绿化率达到40%多，楼宇间距1：1.5，充足的阳光，新鲜的空气提升了善缘生活品质。善缘提供基础、特殊、综合和护理四套可持续服务，引导活力、活动、活泼的退休生活，配套完善的服务设施和智能化、规范化管理，让您从退休到百岁的半生幸福有所依’ 山缘老人公寓正是专注老人养老需求，提供完善功能、周到服务的高端颐养社区。园区内规划了近9000平方米的配套设施，涵盖服务大堂、多功能厅、书花吧、太极广场、健身长廊、景观茶园、耕稼园、营养餐厅、康复医疗保健中心等十大完善功能，并根据老人身体和生理特点，规划所有设施与住宅之间距离不超过450米，方便老人步行易达。 更有由杭州市中医院合作联办的康复保健中心，在家门口为所有入住的老人提供名医康复保健和日常问诊开药服务。 和盖几幢房子的养老公寓不同，建一座颐养社区的难度要大得多，不仅所有设施配套都要专为老人而设计，更重要的是要有持续、可靠的服务。 而山缘老人公寓是杭州市民政局所属的民办非企业单位——杭州山缘老人公寓开发管理中心整体开发并持续管理的新型专业养老服务项目。已被国家老龄委授予 “全国爱心护理工程试点单位”以及“养老服务放心机构十佳单位”称号。 园区整体规模逾10万平方米，采用无障碍社区、全人车分流的规划，“前庭后山，一廊两园”的园林景观，主城罕有的多层电梯山景公寓，1∶1.5超大楼间距、一键式紧急呼叫系统。 在老人入住之初，就为每位老人建立健康档案，定期体检指导，并根据老人的需要，提供托老护理、亲情照料服务、园区管家和24小时全天候服务大堂。 目前，杭州的养老机构仍处于“一床难求”的状况，而像山缘老人公寓这样的高端颐养社区更是稀有资源，山缘老人公寓现提供逸养护理型、保健护理型、自助护理型三种不同类型的老人用房。,杭州山缘老人公寓，位于西溪湿地旁，门口即有306路公交直达黄龙公交总站。园区内有：8小时阅览室、棋牌房、国标舞池；12小时营养餐厅，24小时医疗服务、服务大堂、门球场、太极广场。,,,
41942,,1130,500平方,台州市椒江区东升街333号(椒江7号码头向东100米),118,2015年09月09日,浙江-台州市-椒江区,椒江区,台州市,浙江,自理 半自理 全护理 特护,True,True,True,True,1680-4200,4200,1680,民办,老年公寓,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/41942.html,徐德友,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,,暂无详细介绍，具体详情请致电咨询！,徐德友,,318000
41887,,1166,13亩,浙江省临海市牛头山风景区,150,2015年01月25日,浙江-台州市-临海市,临海市,台州市,浙江,自理 半自理 全护理,True,True,,True,2000-5000,5000,2000,民办,老年公寓,可接收异地老人,,True,,http://www.yanglao.com.cn/resthome/41887.html,陈女士,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,暂无详细介绍，具体详情请致电咨询！,,暂无详细介绍，具体详情请致电咨询！,陈女士,344588489@qq.com,317000
